chembl_id,name,drug_type,is_approved,maximum_clinical_trial_phase,target_count,ensembl_id,gene_symbol,adverse_event_count,median_llr,total_reports,missing_adverse_data_penalty,normalized_target_count,normalized_median_llr,ranking_score
CHEMBL399510,BROMOPRIDE,Small molecule,0,3.0,1,ENSG00000149295,DRD2,5,6.669816850786816,8,0,0.0,0.0,0.0
CHEMBL1448187,FLUPHENAZINE HYDROCHLORIDE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,27,12.032254750551374,128,0,0.0,0.005312339189762807,0.005312339189762807
CHEMBL1201154,PROCHLORPERAZINE EDISYLATE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,41,13.08345584819017,761,0,0.0,0.006353719414893887,0.006353719414893887
CHEMBL1200854,FLUPHENAZINE DECANOATE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,50,14.336481398175238,332,0,0.0,0.007595038542384768,0.007595038542384768
CHEMBL26,SULPIRIDE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,77,14.687851037461314,847,0,0.0,0.007943125502040599,0.007943125502040599
CHEMBL726,FLUPHENAZINE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,75,14.816470373745688,631,0,0.0,0.008070543208963556,0.008070543208963556
CHEMBL1314751,PROCHLORPERAZINE MALEATE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,43,15.455672007136856,827,0,0.0,0.008703773085131147,0.008703773085131147
CHEMBL1378,THIETHYLPERAZINE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,7,15.8541278327653,30,0,0.0,0.009098506327257496,0.009098506327257496
CHEMBL290194,ALIZAPRIDE,Small molecule,0,3.0,1,ENSG00000149295,DRD2,85,17.516718083527394,633,0,0.0,0.010745563787079797,0.010745563787079797
CHEMBL297302,BENPERIDOL,Small molecule,1,4.0,1,ENSG00000149295,DRD2,17,17.77679893112719,76,0,0.0,0.01100321482286555,0.01100321482286555
CHEMBL28218,BROMPERIDOL,Small molecule,1,4.0,1,ENSG00000149295,DRD2,5,17.859266232300342,27,0,0.0,0.01108491167121793,0.01108491167121793
CHEMBL46516,FLUSPIRILENE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,1,19.50942207219228,3,0,0.0,0.012719650888964169,0.012719650888964169
CHEMBL567,PERPHENAZINE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,71,20.318505778003782,1457,0,0.0,0.013521175710047819,0.013521175710047819
CHEMBL3989478,THIETHYLPERAZINE MALEATE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,5,22.67415974532986,27,0,0.0,0.015854821921353315,0.015854821921353315
CHEMBL2359670,THIETHYLPERAZINE MALATE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,5,23.30255703753494,26,0,0.0,0.016477348396162175,0.016477348396162175
CHEMBL728,PROCHLORPERAZINE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,51,27.410906351333324,1348,0,0.0,0.0205473153538932,0.0205473153538932
CHEMBL219916,DOMPERIDONE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,94,28.854588110573786,1755,0,0.0,0.021977509480242997,0.021977509480242997
CHEMBL1200951,FLUPHENAZINE ENANTHATE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,7,36.17573695769051,26,0,0.0,0.029230260311414874,0.029230260311414874
CHEMBL1201087,CABERGOLINE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,56,45.431953564156174,1250,0,0.0,0.038400000483066986,0.038400000483066986
CHEMBL2218861,QUINAGOLIDE,Small molecule,1,4.0,1,ENSG00000149295,DRD2,3,58.39691101257651,22,0,0.0,0.05124383249273456,0.05124383249273456
